match_id,team,opponent,period,minute_bin,metric_name,metric_value,metric_unit,zone,channel,interpretation_label,insight_text,dashboard_section,recommended_chart_type,priority_level
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,0,attacking_third_actions,15,count,,,high,FCK produced 15.00 attacking third actions in minute bin 0.,Territory & Control,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,0,box_entries,12,count,,,high,FCK produced 12.00 box entries in minute bin 0.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,0,shots,4,count,,,high,FCK produced 4.00 shots in minute bin 0.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,0,danger_entries,19,count,,,high,FCK produced 19.00 danger entries in minute bin 0.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,0,threat,1.8884,index,,,dominant,FCK produced 1.89 threat in minute bin 0.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,0,final_third_entries,13,count,,,high,FCK produced 13.00 final third entries in minute bin 0.,Executive Match Overview,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,0,attacking_third_actions,18,count,,,high,FCM produced 18.00 attacking third actions in minute bin 0.,Territory & Control,dual-axis timeline,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,0,box_entries,9,count,,,high,FCM produced 9.00 box entries in minute bin 0.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,0,shots,0,count,,,low,FCM produced 0.00 shots in minute bin 0.,Chance Creation & Final Third,dual-axis timeline,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,0,danger_entries,13,count,,,high,FCM produced 13.00 danger entries in minute bin 0.,Chance Creation & Final Third,dual-axis timeline,high
