match_id,game_id_opta,event_id,team_id,team_name,opponent_team_id,opponent_team_name,period,period_second,match_second,match_minute,minute_bin_5,player_id,player_name,metric_unit,zone,third,channel,x_oriented,y_oriented,event_type,outcome,phase,interpretation_label,insight_text,dashboard_section,recommended_chart_type,priority_level,is_from_box,is_goal,is_on_target,set_play_type,shot_angle,shot_distance_m,shot_outcome,shot_technique,xg
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,97b421bd-53b8-5b0b-9e36-783a6fe51261,569,FCK,1000,FCM,1,47.64,47.64,1,0,546545,E. Achouri,count,14-l,attacking_third,central_channel,34.2,10.32,shot,off_target,,medium-value shot,FCK generated a 0.08 xG shot (off_target) in minute 1.,Chance Creation & Final Third,shot map,high,true,false,false,,-20.06,19.41,off_target,left_foot,0.078
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,81e0a0d8-bcd8-58a0-bc26-e3e26f50e3c9,569,FCK,1000,FCM,1,279.44,279.44,5,0,457214,G. Onugkha,count,17-l,attacking_third,central_channel,44.05,11.1,shot,off_target,,high-value shot,FCK generated a 0.15 xG shot (off_target) in minute 5.,Chance Creation & Final Third,shot map,high,true,false,false,,-41.58,11.21,off_target,left_foot,0.1512
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,5226e00b-931a-521b-9da6-a8549063c176,1000,FCM,569,FCK,1,978.08,978.08,17,15,533646,D. Osorio,count,14-c,defensive_third,central_channel,-19.98,-1.82,shot,save,,low-value shot,FCM generated a 0.03 xG shot (save) in minute 17.,Chance Creation & Final Third,shot map,high,false,false,false,direct_free_kick,3.21,32.5,save,left_foot,0.0346
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,9fb155eb-0277-5e63-874b-15c8e80395ad,569,FCK,1000,FCM,1,1406.84,1406.84,24,20,96787,M. Elyounoussi,count,14-c,attacking_third,central_channel,34.72,-2.19,shot,off_target,,low-value shot,FCK generated a 0.04 xG shot (off_target) in minute 24.,Chance Creation & Final Third,shot map,high,true,false,false,corner_kick,7.05,17.77,off_target,right_foot,0.0357
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,542e4964-79c9-5855-9067-bf6c67fcab02,1000,FCM,569,FCK,1,1739.48,1739.48,29,25,551144,Franculino Dju,count,17-ol,defensive_third,central_channel,-35.93,-6.68,shot,off_target,,medium-value shot,FCM generated a 0.05 xG shot (off_target) in minute 29.,Chance Creation & Final Third,shot map,high,false,false,false,,10.37,16.77,off_target,left_foot,0.0549
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,7835e360-7a31-5c1c-a50d-7f549fb16c86,569,FCK,1000,FCM,1,1788.84,1788.84,30,25,96787,M. Elyounoussi,count,17-l,attacking_third,central_channel,36.51,9.55,shot,off_target,,medium-value shot,FCK generated a 0.05 xG shot (off_target) in minute 30.,Chance Creation & Final Third,shot map,high,true,false,false,,-20.29,16.98,off_target,right_foot,0.0524
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,c210faeb-0921-53e1-8c96-da40b81114d1,569,FCK,1000,FCM,1,1854.8,1854.8,31,30,193228,K. Diks,count,17-ol,attacking_third,central_channel,41.37,0.75,shot,goal,,high-value shot,FCK generated a 0.78 xG shot (goal) in minute 31.,Chance Creation & Final Third,shot map,high,true,true,false,penalty,-3.87,11.09,goal,right_foot,0.78
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,99e183da-8e65-5f47-8296-9d24727ac6e4,1000,FCM,569,FCK,1,1933,1933,33,30,533646,D. Osorio,count,14-c,defensive_third,central_channel,-25.1,-7.13,shot,off_target,,low-value shot,FCM generated a 0.03 xG shot (off_target) in minute 33.,Chance Creation & Final Third,shot map,high,false,false,false,,7.23,27.55,off_target,left_foot,0.0273
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,abe3d9a0-8bce-5a97-8651-546f3c1e21d6,1000,FCM,569,FCK,1,2058.44,2058.44,35,30,494784,Oliver Sorensen,count,17-ol,defensive_third,central_channel,-42.31,-3.28,shot,off_target,,medium-value shot,FCM generated a 0.08 xG shot (off_target) in minute 35.,Chance Creation & Final Third,shot map,high,false,false,false,,17.95,10.13,off_target,head,0.0781
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,4a08c2a8-fb66-5699-9fa8-2ab7fcdf8201,1000,FCM,569,FCK,1,2218.72,2218.72,37,35,120721,K. Mbabu,count,17-r,defensive_third,central_channel,-47.25,-11.48,shot,save,,high-value shot,FCM generated a 0.19 xG shot (save) in minute 37.,Chance Creation & Final Third,shot map,high,false,false,false,,56.47,9.38,save,right_foot,0.1874
