match_id,team,opponent,period,minute_bin,metric_name,metric_value,metric_unit,zone,channel,interpretation_label,insight_text,dashboard_section,recommended_chart_type,priority_level
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,total_actions,1410,count,,,,FCK period 1: total actions = 1410.00.,Executive Match Overview,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,attacking_third_actions,141,count,,,balanced,FCK period 1: attacking third actions = 141.00.,Territory & Control,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,final_third_entries,105,count,,,,FCK period 1: final third entries = 105.00.,Executive Match Overview,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,box_entries,77,count,,,,FCK period 1: box entries = 77.00.,Chance Creation & Final Third,grouped bar chart,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,average_action_height,-8.3521,meters,,,,FCK period 1: average action height = -8.35.,Territory & Control,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,progressive_passes,46,count,,,,FCK period 1: progressive passes = 46.00.,Territory & Control,grouped bar chart,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,progressive_carries,56,count,,,,FCK period 1: progressive carries = 56.00.,Territory & Control,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,vertical_distance_gained,8415.41,meters,,,,FCK period 1: vertical distance gained = 8415.41.,Territory & Control,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,final_third_passes,44,count,,,,FCK period 1: final third passes = 44.00.,Executive Match Overview,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,completed_final_third_entries,12,count,,,,FCK period 1: completed final third entries = 12.00.,Executive Match Overview,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,directness_index,0.2433,count,,,,FCK period 1: directness index = 0.24.,Territory & Control,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,avg_sequence_length,11.8487,count,,,,FCK period 1: avg sequence length = 11.85.,Territory & Control,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,shots,13,count,,,,FCK period 1: shots = 13.00.,Chance Creation & Final Third,grouped bar chart,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,shots_on_target,1,count,,,,FCK period 1: shots on target = 1.00.,Chance Creation & Final Third,grouped bar chart,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,shots_from_box,4,count,,,,FCK period 1: shots from box = 4.00.,Chance Creation & Final Third,grouped bar chart,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,key_passes,0,count,,,,FCK period 1: key passes = 0.00.,Chance Creation & Final Third,grouped bar chart,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,danger_entries,151,count,,,,FCK period 1: danger entries = 151.00.,Chance Creation & Final Third,grouped bar chart,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,1,,threat,14.6714,index,,,,FCK period 1: threat = 14.67.,Chance Creation & Final Third,grouped bar chart,high
