match_id,team,opponent,period,minute_bin,metric_name,metric_value,metric_unit,zone,channel,interpretation_label,insight_text,dashboard_section,recommended_chart_type,priority_level
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,total_actions,376,count,middle_third,central_channel,high,FCK generated 376.00 total actions in middle_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,progressive_passes,7,count,middle_third,central_channel,moderate,FCK generated 7.00 progressive passes in middle_third/central_channel.,Territory & Control,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,final_third_entries,50,count,middle_third,central_channel,high,FCK generated 50.00 final third entries in middle_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,box_entries,10,count,middle_third,central_channel,high,FCK generated 10.00 box entries in middle_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,dangerous_losses,38,count,middle_third,central_channel,high,FCK generated 38.00 dangerous losses in middle_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,recoveries,20,count,middle_third,central_channel,high,FCK generated 20.00 recoveries in middle_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,threat,3.5687,index,middle_third,central_channel,moderate,FCK generated 3.57 threat in middle_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,total_actions,427,count,middle_third,central_channel,high,FCM generated 427.00 total actions in middle_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,progressive_passes,9,count,middle_third,central_channel,moderate,FCM generated 9.00 progressive passes in middle_third/central_channel.,Territory & Control,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,final_third_entries,58,count,middle_third,central_channel,high,FCM generated 58.00 final third entries in middle_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,box_entries,10,count,middle_third,central_channel,high,FCM generated 10.00 box entries in middle_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,dangerous_losses,47,count,middle_third,central_channel,high,FCM generated 47.00 dangerous losses in middle_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,recoveries,29,count,middle_third,central_channel,high,FCM generated 29.00 recoveries in middle_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,threat,3.9571,index,middle_third,central_channel,moderate,FCM generated 3.96 threat in middle_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,total_actions,321,count,middle_third,right_channel,high,FCK generated 321.00 total actions in middle_third/right_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,progressive_passes,12,count,middle_third,right_channel,high,FCK generated 12.00 progressive passes in middle_third/right_channel.,Territory & Control,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,final_third_entries,47,count,middle_third,right_channel,high,FCK generated 47.00 final third entries in middle_third/right_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,box_entries,9,count,middle_third,right_channel,moderate,FCK generated 9.00 box entries in middle_third/right_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,dangerous_losses,0,count,middle_third,right_channel,low,FCK generated 0.00 dangerous losses in middle_third/right_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,recoveries,25,count,middle_third,right_channel,high,FCK generated 25.00 recoveries in middle_third/right_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,threat,3.3059,index,middle_third,right_channel,moderate,FCK generated 3.31 threat in middle_third/right_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,total_actions,360,count,defensive_third,central_channel,high,FCK generated 360.00 total actions in defensive_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,progressive_passes,8,count,defensive_third,central_channel,moderate,FCK generated 8.00 progressive passes in defensive_third/central_channel.,Territory & Control,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,final_third_entries,12,count,defensive_third,central_channel,high,FCK generated 12.00 final third entries in defensive_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,box_entries,3,count,defensive_third,central_channel,moderate,FCK generated 3.00 box entries in defensive_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,dangerous_losses,46,count,defensive_third,central_channel,high,FCK generated 46.00 dangerous losses in defensive_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,recoveries,30,count,defensive_third,central_channel,high,FCK generated 30.00 recoveries in defensive_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,threat,2.7547,index,defensive_third,central_channel,moderate,FCK generated 2.75 threat in defensive_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,total_actions,72,count,defensive_third,left_channel,high,FCK generated 72.00 total actions in defensive_third/left_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,progressive_passes,10,count,defensive_third,left_channel,high,FCK generated 10.00 progressive passes in defensive_third/left_channel.,Territory & Control,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,final_third_entries,0,count,defensive_third,left_channel,low,FCK generated 0.00 final third entries in defensive_third/left_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,box_entries,0,count,defensive_third,left_channel,low,FCK generated 0.00 box entries in defensive_third/left_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,dangerous_losses,0,count,defensive_third,left_channel,low,FCK generated 0.00 dangerous losses in defensive_third/left_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,recoveries,9,count,defensive_third,left_channel,moderate,FCK generated 9.00 recoveries in defensive_third/left_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,threat,0.3925,index,defensive_third,left_channel,moderate,FCK generated 0.39 threat in defensive_third/left_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,total_actions,792,count,,,high,FCK generated 792.00 total actions in /.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,progressive_passes,0,count,,,low,FCK generated 0.00 progressive passes in /.,Territory & Control,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,final_third_entries,0,count,,,low,FCK generated 0.00 final third entries in /.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,box_entries,0,count,,,low,FCK generated 0.00 box entries in /.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,dangerous_losses,0,count,,,low,FCK generated 0.00 dangerous losses in /.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,recoveries,0,count,,,low,FCK generated 0.00 recoveries in /.,Executive Match Overview,pitch heatmap,medium
